arena,critic,heuristic,mean,std,count
open,Vs,apf_evader,1.42845792,0.08209662458478029,5
open,Vs,circular,1.400231902,0.07332880119120676,5
open,Vs,hover,1.051477302,0.23498369534240565,5
open,Vs,lemniscate,1.408820108,0.0924510256026374,5
open,Vsh,apf_evader,0.7382633192,0.5204975474812179,5
open,Vsh,circular,0.843631212,0.6073087051737575,5
open,Vsh,hover,0.958345654,0.8101695345067307,5
open,Vsh,lemniscate,0.8600354400000001,0.5170835756382814,5
open,Vsoa,apf_evader,0.234592332,0.05132585299766436,3
open,Vsoa,circular,0.23700069166666668,0.05855330208841389,3
open,Vsoa,hover,0.46105709333333333,0.5553960008033152,3
open,Vsoa,lemniscate,0.21985138466666668,0.04508785203272723,3
open,Vsz,apf_evader,1.347234814,0.11532180979139967,5
open,Vsz,circular,1.3251790580000002,0.10913373748974771,5
open,Vsz,hover,1.027574956,0.1591735283835755,5
open,Vsz,lemniscate,1.318811476,0.22629647658955135,5
wall,Vs,apf_evader,0.571220656,0.0030057641328504097,5
wall,Vs,circular,0.6779488528000001,0.030354128642796695,5
wall,Vs,hover,0.701880144,0.06341048035576477,5
wall,Vs,lemniscate,0.7091057378,0.0407295440513487,5
wall,Vsh,apf_evader,0.577296084,0.045842909406470685,5
wall,Vsh,circular,0.6293285209999999,0.07548761569940561,5
wall,Vsh,hover,0.6750288019999999,0.0872686226382379,5
wall,Vsh,lemniscate,0.6869876762,0.11534407283097965,5
wall,Vsoa,apf_evader,0.33692578166666665,0.04361101851057429,3
wall,Vsoa,circular,0.3496684913333333,0.08148643101978965,3
wall,Vsoa,hover,0.11041065,0.023164427097918907,3
wall,Vsoa,lemniscate,0.3317900516666667,0.04021818887790213,3
wall,Vsz,apf_evader,0.559447252,0.013112935435981542,5
wall,Vsz,circular,0.667984807,0.02481188984195471,5
wall,Vsz,hover,0.6946629360000001,0.04166487793512704,5
wall,Vsz,lemniscate,0.713655684,0.0512818192681098,5
